date,ticker,close,low,high,volume,variation
2023-11-23,CMT,1333.0,1320.0,1333.0,671.0,-0.52
2023-11-24,CMT,1340.0,1320.0,1344.0,612.0,0.53
2023-11-27,CMT,1326.0,1322.0,1388.0,1828.0,-1.04
2023-11-28,CMT,1359.0,1350.0,1370.0,337.0,2.49
2023-11-29,CMT,1359.0,1331.0,1368.0,2534.0,0.0
2023-11-30,CMT,1333.0,1333.0,1359.0,1117.0,-1.91
2023-12-01,CMT,1325.0,1320.0,1369.0,2082.0,-0.6
2023-12-04,CMT,1322.0,1321.0,1325.0,59.0,-0.23
2023-12-05,CMT,1330.0,1310.0,1330.0,875.0,0.61
2023-12-06,CMT,1300.0,1300.0,1356.0,360.0,-2.26
2023-12-07,CMT,1305.0,1302.0,1305.0,25.0,0.38
2023-12-08,CMT,1306.0,1304.0,1306.0,97.0,0.08
2023-12-11,CMT,1304.0,1303.0,1308.0,72.0,-0.15
2023-12-12,CMT,1310.0,1305.0,1340.0,2237.0,0.46
2023-12-13,CMT,1337.0,1305.0,1340.0,78.0,2.06
2023-12-14,CMT,1310.0,1304.0,1336.0,656.0,-2.02
2023-12-15,CMT,1310.0,1310.0,1348.0,970.0,0.0
2023-12-18,CMT,1308.0,1308.0,1312.0,602.0,-0.15
2023-12-19,CMT,1305.0,1300.0,1309.0,107.0,-0.23
2023-12-20,CMT,1311.0,1300.0,1335.0,610.0,0.46
2023-12-21,CMT,1270.0,1270.0,1330.0,4336.0,-3.13
2023-12-22,CMT,1250.0,1250.0,1307.0,1657.0,-1.57
2023-12-25,CMT,1230.0,1222.0,1299.0,473.0,-1.6
2023-12-26,CMT,1108.0,1108.0,1220.0,5599.0,-9.92
2023-12-27,CMT,997.3,997.3,1112.0,24386.0,-9.99
2023-12-28,CMT,1020.0,1000.0,1055.0,11063.0,2.28
2023-12-29,CMT,1090.0,1040.0,1111.0,10587.0,6.86
2024-01-02,CMT,1195.0,1156.0,1197.0,1217.0,9.63
2024-01-03,CMT,1200.0,1200.0,1270.0,17651.0,0.42
2024-01-04,CMT,1198.0,1198.0,1264.0,2901.0,-0.17
2024-01-05,CMT,1150.0,1150.0,1216.0,1686.0,-4.01
2024-01-08,CMT,1132.0,1132.0,1189.0,2147.0,-1.57
2024-01-09,CMT,1120.0,1090.0,1160.0,1988.0,-1.06
2024-01-10,CMT,1150.0,1130.0,1167.0,1103.0,2.68
2024-01-12,CMT,1100.0,1100.0,1149.0,1431.0,-4.35
2024-01-15,CMT,1130.0,1110.0,1130.0,161.0,2.73
2024-01-16,CMT,1112.0,1110.0,1130.0,655.0,-1.59
2024-01-17,CMT,1110.0,1109.0,1125.0,622.0,-0.18
2024-01-18,CMT,1049.0,1049.0,1110.0,2030.0,-5.5
2024-01-19,CMT,1000.0,1000.0,1060.0,7356.0,-4.67
2024-01-22,CMT,1005.0,1000.0,1038.0,1406.0,0.5
2024-01-23,CMT,1021.0,1014.0,1030.0,440.0,1.59
2024-01-24,CMT,1000.0,1000.0,1073.0,1281.0,-2.06
2024-01-25,CMT,1000.0,1000.0,1025.0,3694.0,0.0
2024-01-26,CMT,995.0,995.0,1000.0,1691.0,-0.5
2024-01-29,CMT,995.0,994.0,1000.0,1636.0,0.0
2024-01-30,CMT,988.0,988.0,999.0,390.0,-0.7
2024-01-31,CMT,1086.0,1086.0,1086.0,267.0,9.92
2024-02-01,CMT,1194.0,1194.0,1194.0,235.0,9.94
2024-02-02,CMT,1313.0,1313.0,1313.0,316.0,9.97
2024-02-05,CMT,1444.0,1444.0,1444.0,7938.0,9.98
2024-02-06,CMT,1450.0,1444.0,1469.0,9832.0,0.42
2024-02-07,CMT,1594.0,1450.0,1594.0,10721.0,9.93
2024-02-08,CMT,1530.0,1530.0,1660.0,8132.0,-4.02
2024-02-09,CMT,1438.0,1410.0,1490.0,7213.0,-6.01
2024-02-12,CMT,1412.0,1411.0,1470.0,4675.0,-1.81
2024-02-13,CMT,1400.0,1380.0,1412.0,1403.0,-0.85
2024-02-14,CMT,1424.0,1382.0,1425.0,892.0,1.71
2024-02-15,CMT,1435.0,1405.0,1460.0,1412.0,0.77
2024-02-16,CMT,1454.0,1441.0,1460.0,836.0,1.32
2024-02-19,CMT,1446.0,1446.0,1474.0,553.0,-0.55
2024-02-20,CMT,1447.0,1442.0,1466.0,754.0,0.07
2024-02-21,CMT,1303.0,1303.0,1439.0,7171.0,-9.95
2024-02-22,CMT,1259.0,1200.0,1309.0,1989.0,-3.38
2024-02-23,CMT,1305.0,1271.0,1313.0,1066.0,3.65
2024-02-26,CMT,1315.0,1305.0,1327.0,707.0,0.77
2024-02-27,CMT,1314.0,1270.0,1314.0,1756.0,-0.08
2024-02-28,CMT,1299.0,1281.0,1314.0,647.0,-1.14
2024-02-29,CMT,1314.0,1287.0,1314.0,202.0,1.15
2024-03-01,CMT,1300.0,1270.0,1300.0,339.0,-1.07
2024-03-04,CMT,1308.0,1287.0,1312.0,98.0,0.62
2024-03-05,CMT,1310.0,1288.0,1313.0,211.0,0.15
2024-03-06,CMT,1321.0,1285.0,1347.0,2190.0,0.84
2024-03-07,CMT,1311.0,1311.0,1350.0,1741.0,-0.76
2024-03-08,CMT,1308.0,1308.0,1327.0,254.0,-0.23
2024-03-11,CMT,1300.0,1300.0,1344.0,92.0,-0.61
2024-03-12,CMT,1315.0,1260.0,1315.0,1012.0,1.15
2024-03-13,CMT,1315.0,1260.0,1315.0,1012.0,0.0
2024-03-14,CMT,1315.0,1260.0,1315.0,1012.0,0.0
2024-03-15,CMT,1300.0,1300.0,1310.0,1275.0,-1.14
2024-03-18,CMT,1290.0,1290.0,1300.0,187.0,-0.77
2024-03-19,CMT,1300.0,1280.0,1300.0,68.0,0.78
2024-03-20,CMT,1295.0,1277.0,1295.0,162.0,-0.38
2024-03-21,CMT,1282.0,1282.0,1294.0,33.0,-1.0
2024-03-22,CMT,1285.0,1282.0,1295.0,907.0,0.23
2024-03-25,CMT,1285.0,1285.0,1310.0,30.0,0.0
2024-03-26,CMT,1270.0,1270.0,1303.0,221.0,-1.17
2024-03-27,CMT,1260.0,1260.0,1272.0,110.0,-0.79
2024-03-28,CMT,1160.0,1160.0,1269.0,2898.0,-7.94
2024-03-29,CMT,1145.0,1145.0,1220.0,3088.0,-1.29
2024-04-01,CMT,1220.0,1152.0,1224.0,967.0,6.55
2024-04-02,CMT,1290.0,1235.0,1300.0,5299.0,5.74
2024-04-03,CMT,1320.0,1290.0,1350.0,4783.0,2.33
2024-04-04,CMT,1299.0,1275.0,1320.0,2556.0,-1.59
2024-04-05,CMT,1250.0,1235.0,1298.0,2022.0,-3.77
2024-04-08,CMT,1305.0,1221.0,1319.0,4134.0,4.4
2024-04-09,CMT,1304.0,1285.0,1305.0,2228.0,-0.08
2024-04-15,CMT,1363.0,1306.0,1385.0,5118.0,4.52
2024-04-16,CMT,1400.0,1365.0,1417.0,7166.0,2.71
2024-04-17,CMT,1390.0,1350.0,1398.0,5643.0,-0.71
